City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Butaritari,3.07,172.79,82.35,78,100,18.68,KI,1606265568
Cuncolim,15.17,73.98,73.4,83,20,3.36,IN,1606265568
Avera,33.19,-82.53,51.8,76,1,4.7,US,1606265568
Carnarvon,-24.87,113.63,75.2,73,0,20.8,AU,1606265461
Marovoay,-16.1,46.63,77.0,69,20,4.7,MG,1606265568
Miracema do Tocantins,-9.56,-48.4,77.95,69,51,3.15,BR,1606265569
Narsaq,60.92,-46.05,37.4,51,100,25.28,GL,1606265569
Lata,40.16,-8.33,57.0,76,100,5.01,PT,1606265569
Lebu,-37.62,-73.65,54.84,88,54,1.88,CL,1606265569
Chaman,30.92,66.45,44.76,67,67,2.84,PK,1606265570
Kulhudhuffushi,6.62,73.07,81.27,62,100,2.95,MV,1606265570
Port-Gentil,-0.72,8.78,79.47,85,100,10.33,GA,1606265570
Port Alfred,-33.59,26.89,62.44,67,100,17.31,ZA,1606265570
Sitka,57.05,-135.33,44.6,70,90,8.05,US,1606265431
Barrow,71.29,-156.79,12.2,78,90,20.8,US,1606265570
Pochutla,15.74,-96.47,82.4,74,40,2.19,MX,1606265571
George Town,5.41,100.34,78.8,100,20,5.01,MY,1606265571
Hofn,64.25,-15.21,34.83,82,0,18.03,IS,1606265571
Quang Ngai,15.12,108.8,76.23,86,100,6.06,VN,1606265571
Bambous Virieux,-20.34,57.76,75.2,88,75,11.41,MU,1606265571
Trairi,-3.28,-39.27,79.99,78,11,12.46,BR,1606265524
Rikitea,-23.12,-134.97,74.86,81,100,12.15,PF,1606265417
Lima,-12.04,-77.03,64.4,72,0,14.99,PE,1606265276
Kerman,30.28,57.08,32.0,62,0,4.7,IR,1606265341
Panabá,21.28,-88.27,73.26,89,10,9.06,MX,1606265572
Gorontalo,0.54,123.06,86.68,64,100,2.98,ID,1606265572
Bluff,-46.6,168.33,70.0,41,0,7.0,NZ,1606265573
Pisco,-13.7,-76.22,66.99,82,0,20.8,PE,1606265573
Bilibino,68.05,166.44,-3.1,89,100,3.2,RU,1606265573
Lazurne,46.08,32.53,43.23,68,0,10.31,UA,1606265573
Andros Town,24.7,-77.77,77.0,73,40,13.87,BS,1606265573
Saint-Philippe,-21.36,55.77,73.4,56,66,5.82,RE,1606265573
Tuktoyaktuk,69.45,-133.04,-0.4,84,75,3.36,CA,1606265574
Bagdarin,54.43,113.6,1.08,83,0,4.34,RU,1606265574
Coyhaique,-45.58,-72.07,48.2,76,75,2.24,CL,1606265574
Sørland,67.67,12.69,41.0,86,75,18.34,NO,1606265574
Hobart,-42.88,147.33,79.0,49,75,14.99,AU,1606265465
Yellowknife,62.46,-114.35,14.0,92,90,12.75,CA,1606265575
Behshahr,36.69,53.55,47.3,54,0,6.42,IR,1606265575
Dali,25.7,100.18,48.4,76,21,1.79,CN,1606265575
Tenosique,17.48,-91.43,73.54,90,0,3.13,MX,1606265575
Constitución,-35.33,-72.42,55.0,88,0,7.34,CL,1606265575
Iquitos,-3.75,-73.25,82.4,78,0,3.44,PE,1606265575
Ushuaia,-54.8,-68.3,44.6,65,75,6.93,AR,1606265348
Ngunguru,-35.62,174.5,68.0,94,73,5.01,NZ,1606265576
Jacmel,18.23,-72.53,76.59,79,34,3.78,HT,1606265576
Correntina,-13.34,-44.64,68.54,82,20,4.32,BR,1606265576
Coos Bay,43.37,-124.22,54.0,87,90,10.29,US,1606265576
Vila Franca do Campo,37.72,-25.43,55.4,62,20,12.75,PT,1606265577
Taoudenni,22.68,-3.98,58.21,35,43,12.44,ML,1606265577
Kruisfontein,-34.0,24.73,57.99,87,46,1.99,ZA,1606265577
City of San Pedro,14.35,121.02,86.0,58,20,3.36,PH,1606265577
Qaanaaq,77.48,-69.36,8.06,90,100,0.96,GL,1606265577
Hearst,49.68,-83.67,15.8,85,100,8.05,CA,1606265577
Gomel,52.43,30.98,39.2,100,90,11.18,BY,1606265578
Lompoc,34.64,-120.46,62.6,55,1,10.29,US,1606265578
Tamandaré,-8.76,-35.1,75.99,84,4,9.08,BR,1606265578
Mount Gambier,-37.83,140.77,73.4,46,0,16.11,AU,1606265352
Castro,-24.79,-50.01,62.15,97,9,7.0,BR,1606265447
Huarmey,-10.07,-78.15,63.57,83,28,7.45,PE,1606265579
Hervey Bay,-25.3,152.85,82.99,57,75,8.05,AU,1606265579
Saint Paul Harbor,57.79,-152.41,39.2,80,1,4.7,US,1606265534
Bredasdorp,-34.53,20.04,53.6,66,13,8.05,ZA,1606265579
Robertsport,6.75,-11.37,78.85,84,3,9.48,LR,1606265579
Balagansk,54.01,103.05,7.03,94,95,2.91,RU,1606265580
Thompson,55.74,-97.86,1.4,84,20,5.82,CA,1606265580
Vila do Maio,15.13,-23.22,78.8,78,75,9.17,CV,1606265580
Bubaque,11.28,-15.83,82.24,77,10,13.33,GW,1606265580
Broken Hill,-31.95,141.43,80.6,26,0,8.05,AU,1606265581
Husavik,66.04,-17.34,26.6,92,90,12.59,IS,1606265581
Vostochnyy,55.82,37.87,34.0,98,75,6.71,RU,1606265581
Hilo,19.73,-155.09,80.6,69,40,5.82,US,1606265581
Pitimbu,-7.47,-34.81,77.0,88,20,6.93,BR,1606265581
Ritchie,-29.04,24.6,59.0,47,0,11.41,ZA,1606265582
Karratha,-20.74,116.85,88.3,48,0,6.53,AU,1606265582
Cayenne,4.93,-52.33,78.8,88,20,9.13,GF,1606265582
Yatou,37.15,122.38,43.74,60,0,6.51,CN,1606265320
Cape Town,-33.93,18.42,59.0,58,75,4.7,ZA,1606265394
Mount Isa,-20.73,139.5,100.4,12,8,8.05,AU,1606265582
Noril'sk,69.35,88.2,15.8,92,75,11.18,RU,1606265583
Dengzhou,37.81,120.75,44.35,61,22,9.1,CN,1606265583
Fortuna,40.6,-124.16,53.01,78,73,1.23,US,1606265580
Hadejia,12.45,10.04,74.12,29,9,7.34,NG,1606265583
Ponta do Sol,32.67,-17.1,62.6,77,20,4.7,PT,1606265583
Tuatapere,-46.13,167.68,70.0,41,0,7.0,NZ,1606265584
Vila Velha,-20.33,-40.29,71.6,94,75,9.66,BR,1606265491
Mataura,-46.19,168.86,70.0,41,0,7.0,NZ,1606265584
Show Low,34.25,-110.03,41.0,38,1,2.21,US,1606265584
Tura,25.52,90.22,59.97,86,9,3.11,IN,1606265584
Goundam,16.41,-3.67,65.1,26,0,10.74,ML,1606265585
Chernyshevskiy,63.01,112.47,-11.36,89,5,2.73,RU,1606265585
Valley City,46.92,-98.0,21.2,100,90,10.29,US,1606265585
Acajutla,13.59,-89.83,77.0,65,0,6.02,SV,1606265585
Malartic,48.13,-78.13,14.0,78,75,5.82,CA,1606265586
Beipiao,41.79,120.78,27.21,83,10,3.76,CN,1606265586
Nikolskoye,59.7,30.79,36.0,90,75,4.47,RU,1606265586
Khatanga,71.97,102.5,10.11,96,90,8.25,RU,1606265586
Cherskiy,68.75,161.3,-0.87,92,100,3.96,RU,1606265586
Jamestown,42.1,-79.24,37.99,69,90,8.05,US,1606265586
Pangody,65.85,74.49,14.59,96,100,11.83,RU,1606265587
Novoil'insk,51.68,108.71,7.21,93,52,0.76,RU,1606265587
Sundargarh,22.12,84.03,56.8,54,100,5.73,IN,1606265587
Tsarychanka,48.94,34.48,37.8,77,88,8.43,UA,1606265587
Saint-Louis,16.33,-15.0,75.2,47,0,11.54,SN,1606265587
Atar,20.52,-13.05,68.18,23,100,10.31,MR,1606265588
Araouane,18.9,-3.53,62.37,29,33,10.67,ML,1606265588
Rome,43.21,-75.46,28.4,79,1,3.38,US,1606265588
Fort Saint James,54.43,-124.25,24.75,97,17,2.95,CA,1606265588
Thinadhoo,0.53,72.93,81.79,78,0,11.05,MV,1606265588
Geraldton,-28.77,114.6,71.6,68,7,20.8,AU,1606265589
Esperantinópolis,-4.87,-44.71,78.44,80,51,1.5,BR,1606265589
Ponta Delgada,37.73,-25.67,55.4,62,20,12.75,PT,1606265334
Lavrentiya,65.58,-171.0,37.09,93,100,39.12,RU,1606265589
Chihuahua,28.5,-106.0,77.0,9,5,12.75,MX,1606265589
Dwārka,22.24,68.97,71.89,59,0,14.97,IN,1606265590
Albert Lea,43.65,-93.37,35.6,100,100,2.55,US,1606265418
Nsoko,-27.03,31.95,69.96,83,100,10.76,SZ,1606265590
Leh,34.17,77.58,18.07,84,95,2.89,IN,1606265590
Airai,-8.93,125.41,77.34,58,54,0.89,TL,1606265591
Mahébourg,-20.41,57.7,75.2,88,75,11.41,MU,1606265591
Hong Kong,22.29,114.16,73.0,80,30,3.0,HK,1606265554
Jieshi,22.81,115.83,72.0,76,6,1.01,CN,1606265591
Los Llanos de Aridane,28.66,-17.92,68.0,72,0,3.36,ES,1606265591
Sesheke,-17.48,24.3,73.4,83,100,2.24,ZM,1606265592
Avarua,-21.21,-159.78,78.8,83,100,4.7,CK,1606265592
Havelock,34.88,-76.9,46.99,85,14,4.43,US,1606265592
Galveston,29.37,-94.97,73.99,88,75,9.17,US,1606265592
Grajaú,-5.82,-46.14,77.92,72,5,4.21,BR,1606265592
New Norfolk,-42.78,147.06,79.0,50,1,1.01,AU,1606265593
Cabo San Lucas,22.89,-109.91,78.8,50,90,2.24,MX,1606265405
Dovbysh,50.37,27.99,37.71,82,100,10.63,UA,1606265593
Anito,12.45,125.29,81.93,78,37,14.38,PH,1606265593
Quatre Cocos,-20.21,57.76,75.2,88,75,11.41,MU,1606265594
Yangi Marg`ilon,40.43,71.72,24.8,92,90,2.24,UZ,1606265594
Nur-Sultan,51.18,71.45,6.8,92,40,6.71,KZ,1606265594
Pyinmana,19.73,96.22,69.33,82,0,3.56,MM,1606265594
Praia,14.92,-23.51,78.8,78,75,9.17,CV,1606265594
Gaya,24.78,85.0,48.2,93,46,2.77,IN,1606265595
Saskylakh,71.92,114.08,-5.15,91,72,4.36,RU,1606265595
Shar,49.59,81.05,6.76,94,79,2.91,KZ,1606265595
Puerto Baquerizo Moreno,-0.9,-89.6,70.2,84,76,10.02,EC,1606265595
Sangar,63.92,127.47,-18.24,87,30,5.3,RU,1606265595
Chokurdakh,70.63,147.92,-0.69,93,100,10.47,RU,1606265596
Riyadh,24.69,46.72,53.6,62,0,2.93,SA,1606265372
Port Augusta,-32.5,137.77,87.8,22,0,13.87,AU,1606265596
Palmer,42.16,-72.33,30.0,74,40,2.46,US,1606265596
Chota,-6.55,-78.65,55.27,87,62,3.31,PE,1606265597
Hirara,24.8,125.28,77.0,69,20,12.75,JP,1606265597
Longyearbyen,78.22,15.64,26.6,92,90,14.99,SJ,1606265597
São Filipe,14.9,-24.5,79.2,73,100,2.62,CV,1606265597
Grand-Lahou,5.14,-5.02,78.55,86,34,7.0,CI,1606265597
San Patricio,28.02,-97.52,77.0,73,20,24.16,US,1606265597
Upata,8.01,-62.4,77.0,94,100,1.01,VE,1606265598
Owando,-0.48,15.9,70.9,94,100,1.9,CG,1606265598
Kendari,-3.94,122.5,83.84,71,77,3.02,ID,1606265598
Vostok,46.49,135.88,19.17,95,87,4.65,RU,1606265598
Taseyevo,57.22,94.9,4.17,94,59,1.16,RU,1606265598
Northam,51.03,-4.22,51.01,95,97,5.99,GB,1606265599
San Jose,37.34,-121.89,64.0,51,0,1.01,US,1606265599
Kirakira,-10.45,161.92,80.1,82,100,15.59,SB,1606265599
Vanimo,-2.67,141.3,85.91,62,25,2.13,PG,1606265599
Forécariah,9.43,-13.09,76.71,89,1,3.11,GN,1606265599
Cidreira,-30.18,-50.21,71.47,80,0,23.38,BR,1606265600
Deputatsky,69.3,139.9,-17.97,88,96,7.02,RU,1606265600
São João da Barra,-21.64,-41.05,72.5,86,100,9.17,BR,1606265576
Kudahuvadhoo,2.67,72.89,81.21,74,45,6.93,MV,1606265600
Vanavara,60.34,102.28,7.68,95,99,4.38,RU,1606265600
Mayumba,-3.43,10.66,77.79,89,99,5.35,GA,1606265601
Goderich,43.75,-81.72,35.01,80,100,18.77,CA,1606265601
Leningradskiy,69.38,178.42,26.67,97,100,27.78,RU,1606265601
Tallahassee,30.44,-84.28,61.0,72,20,0.92,US,1606265593
Bengkulu,-3.8,102.27,75.16,91,100,2.42,ID,1606265601
Gagra,43.33,40.22,42.8,75,90,8.95,GE,1606265601
Hvide Sande,56.0,8.13,50.0,81,100,5.01,DK,1606265602
Torbay,47.67,-52.73,37.0,74,90,28.86,CA,1606265602
Kurumkan,54.3,110.3,4.17,82,0,2.66,RU,1606265602
Souillac,-20.52,57.52,75.2,88,75,11.41,MU,1606265602
Mar del Plata,-38.0,-57.56,66.99,93,0,4.5,AR,1606265357
Monte Alto,-21.26,-48.5,74.43,63,84,8.01,BR,1606265603
Guozhen,34.37,107.36,35.91,82,94,5.08,CN,1606265603
Upernavik,72.79,-56.15,7.29,75,0,10.0,GL,1606265603
Camacha,33.08,-16.33,64.4,77,40,12.75,PT,1606265604
La Ronge,55.1,-105.28,17.6,92,93,8.05,CA,1606265604
Āsosa,10.07,34.53,66.49,37,80,4.25,ET,1606265604
Dingle,11.0,122.67,80.78,83,41,16.17,PH,1606265605
Andijan,40.78,72.34,24.8,73,100,4.47,UZ,1606265605
Nicoya,10.15,-85.45,82.4,69,75,14.99,CR,1606265605
Posse,-14.09,-46.37,68.43,81,82,8.52,BR,1606265518
Norman Wells,65.28,-126.83,-0.4,77,90,8.05,CA,1606265605
Point Pedro,9.82,80.23,76.03,92,100,32.48,LK,1606265605
Palmeira,-25.43,-50.01,63.28,93,2,9.1,BR,1606265606
Arona,28.1,-16.68,70.0,21,0,5.82,ES,1606265606
Chui,-33.7,-53.46,73.11,74,0,12.8,UY,1606265606
Portland,45.52,-122.68,51.01,87,100,4.0,US,1606264729
Olinda,-8.01,-34.86,77.0,69,40,9.17,BR,1606265606
Yumbe,3.47,31.25,66.92,79,11,2.48,UG,1606265607
Lebedinyy,58.52,125.52,-0.17,93,100,17.56,RU,1606265607
Taltal,-25.4,-70.48,62.73,66,65,3.53,CL,1606265420
Clonakilty,51.62,-8.87,39.2,86,0,6.93,IE,1606265607
Clyde River,70.47,-68.59,8.6,92,90,35.57,CA,1606265607
Genhe,50.78,121.52,7.95,88,0,2.95,CN,1606265608
Kloulklubed,7.04,134.26,87.8,66,75,9.17,PW,1606265608
Tromsø,69.65,18.96,33.8,69,75,19.46,NO,1606265378
Rio Grande,-32.03,-52.1,73.0,86,0,3.0,BR,1606265596
Makakilo City,21.35,-158.09,86.0,51,75,10.29,US,1606265609
Klaksvík,62.23,-6.59,37.4,93,0,1.12,FO,1606265609
Isangel,-19.55,169.27,86.0,66,75,6.93,VU,1606265609
Edéia,-17.34,-49.93,72.66,75,33,7.27,BR,1606265609
Bathsheba,13.22,-59.52,80.6,78,40,16.11,BB,1606265610
Urengoy,65.97,78.37,12.67,96,100,11.03,RU,1606265610
Kashgar,39.45,75.98,23.0,67,20,8.95,CN,1606265610
Umluj,25.02,37.27,75.18,58,0,3.18,SA,1606265610
Terrace,54.52,-128.6,35.6,100,75,6.93,CA,1606265610
Bonavista,48.65,-53.11,36.0,84,100,17.22,CA,1606265611
Tilichiki,60.47,166.1,5.22,94,96,5.75,RU,1606265611
Asău,46.43,26.4,33.01,89,0,4.99,RO,1606265611
Dunedin,-45.87,170.5,57.99,69,0,28.01,NZ,1606265611
Isakly,54.13,51.53,26.62,97,100,13.58,RU,1606265611
Mongo,12.18,18.69,73.81,26,13,7.07,TD,1606265612
Magistral'nyy,56.17,107.45,0.18,90,46,1.34,RU,1606265612
Katsuura,35.13,140.3,53.6,81,75,14.99,JP,1606265612
Gweta,-20.18,25.23,73.8,68,100,10.47,BW,1606265612
Pampas,-12.4,-74.9,52.41,75,36,3.67,PE,1606265613
Téra,14.01,0.75,74.14,19,0,10.11,NE,1606265613
Alofi,-19.06,-169.92,82.4,74,75,14.99,NU,1606265613
Batagay-Alyta,67.8,130.41,-6.48,83,54,2.42,RU,1606265613
Margate,51.38,1.39,50.0,77,100,1.99,GB,1606265613
Ormara,25.21,64.64,70.16,78,90,13.38,PK,1606265614
Khānāpur,15.63,74.52,60.8,82,99,2.24,IN,1606265545
Westport,41.14,-73.36,41.0,56,1,3.36,US,1606265614
Red Wing,44.56,-92.53,36.0,93,90,5.82,US,1606265544
Lamu,-2.27,40.9,78.6,86,0,5.99,KE,1606265615
Sanchazi,42.08,126.6,24.39,90,98,3.22,CN,1606265615
Cerro Largo,-28.15,-54.74,84.0,46,0,7.07,BR,1606265615
Kaitangata,-46.28,169.85,61.0,74,0,11.01,NZ,1606265615
Nanortalik,60.14,-45.24,32.2,97,100,38.65,GL,1606265616
Aklavik,68.22,-135.01,1.4,84,90,1.97,CA,1606265616
Kieta,-6.22,155.63,81.52,66,99,3.91,PG,1606265616
Qaqortoq,60.72,-46.03,37.4,51,100,25.28,GL,1606265616
Turceni,44.68,23.37,28.4,100,0,2.24,RO,1606265616
Kiskunhalas,46.43,19.48,35.01,97,90,6.93,HU,1606265616
Bambanglipuro,-7.95,110.28,81.88,74,35,4.63,ID,1606265617
Nome,64.5,-165.41,33.8,100,90,31.09,US,1606265617
Codrington,-38.27,141.97,73.96,56,0,13.42,AU,1606265617
San Cristobal,7.77,-72.22,66.76,90,74,1.74,VE,1606265617
Yugorsk,61.31,63.33,19.96,95,100,9.53,RU,1606265618
Berbera,10.44,45.01,78.53,79,93,7.67,SO,1606265618
Sinnamary,5.38,-52.95,78.28,87,26,8.93,GF,1606265618
Durazno,-33.41,-56.5,80.2,51,97,7.96,UY,1606265513
Watsa,3.04,29.54,64.6,100,100,3.09,CD,1606265619
Bergama,39.12,27.18,55.4,71,40,21.92,TR,1606265619
Atasū,48.68,71.64,4.91,91,0,5.19,KZ,1606265619
Hachinohe,40.5,141.5,41.0,60,75,5.82,JP,1606265619
Arrondissement de Rambouillet,48.58,1.92,41.0,86,0,5.82,FR,1606265620
Faanui,-16.48,-151.75,81.18,79,0,13.94,PF,1606265620
Jalu,29.03,21.55,57.65,60,98,11.21,LY,1606265620
Tiarei,-17.53,-149.33,78.8,88,75,10.29,PF,1606265620
Banda Aceh,5.56,95.32,80.53,77,0,11.27,ID,1606265620
Ovalle,-30.6,-71.2,57.29,47,0,3.47,CL,1606265621
Kuching,1.55,110.33,75.2,100,20,2.24,MY,1606265493
Kidero,42.19,45.96,26.11,83,100,1.28,RU,1606265621
Mitsamiouli,-11.38,43.28,79.54,78,5,13.02,KM,1606265621
Arman',59.7,150.17,2.44,84,0,7.96,RU,1606265621
Dhidhdhoo,6.88,73.1,81.1,64,82,3.71,MV,1606265622
Mackay,-21.15,149.2,82.99,58,40,11.41,AU,1606265622
Balakhninskiy,58.01,114.28,4.1,90,100,2.24,RU,1606265622
Saldanha,-33.01,17.94,53.6,76,40,2.24,ZA,1606265622
Lucea,18.45,-78.17,80.6,74,20,8.05,JM,1606265622
Kiryat Gat,31.61,34.76,59.0,77,0,3.36,IL,1606265400
Flinders,-34.58,150.86,73.0,73,41,3.0,AU,1606265623
Baruun-Urt,46.68,113.28,9.63,92,0,4.34,MN,1606265623
Severo-Kuril'sk,50.68,156.12,30.4,90,94,33.33,RU,1606265623
Pozo Colorado,-23.49,-58.8,87.98,33,0,10.71,PY,1606265623
Saint-Pierre,-21.34,55.48,71.6,56,58,5.82,RE,1606265624
Billings Metropolitan Area,45.78,-108.5,37.99,37,20,9.17,US,1606265624
East London,-33.02,27.91,63.88,70,47,14.54,ZA,1606265624
Batemans Bay,-35.72,150.18,68.0,75,3,11.99,AU,1606265624
Selizharovo,56.85,33.45,33.08,94,100,6.17,RU,1606265624
Zahir Pir,28.81,70.52,61.7,47,99,11.14,PK,1606265624
Birin,26.89,88.07,47.82,73,0,4.79,NP,1606265625
Badou,7.58,0.6,74.95,70,46,1.92,TG,1606265625
Aranos,-24.13,19.12,65.73,28,0,9.15,NA,1606265625
Ha Tinh,18.33,105.9,74.64,89,14,5.35,VN,1606265625
Bosaso,11.28,49.18,79.97,77,4,3.38,SO,1606265626
Concordia,-31.39,-58.02,91.0,31,100,10.0,AR,1606265378
Oktyabr'skoye,43.06,44.74,21.2,92,100,6.71,RU,1606265626
Faya,18.39,42.45,57.2,93,0,2.3,SA,1606265626
Luangwa,-15.62,30.42,85.3,39,100,3.69,ZM,1606265627
Olafsvik,64.89,-23.71,34.14,85,21,10.36,IS,1606265627
Haines Junction,60.75,-137.51,5.0,92,0,1.12,CA,1606265627
El Escorial,40.59,-4.15,48.0,84,0,2.33,ES,1606265627
Havøysund,71.0,24.66,30.2,74,0,16.11,NO,1606265627
Nelson Bay,-32.72,152.15,75.99,53,40,13.87,AU,1606265625
Marmashen,40.83,43.78,15.8,78,100,4.7,AM,1606265628
Moutier,47.28,7.37,36.0,100,90,1.12,CH,1606265628
Pimentel,-6.84,-79.93,66.2,72,0,19.46,PE,1606265628
Ixtapa,20.7,-105.2,80.6,83,20,9.17,MX,1606265561
Le Moule,16.33,-61.35,75.2,88,0,3.36,GP,1606265628
Cascais,38.7,-9.42,63.0,95,100,11.61,PT,1606265549
Santiago del Estero,-27.8,-64.26,94.24,30,100,3.2,AR,1606265469
Omboué,-1.57,9.26,77.45,91,99,3.76,GA,1606265629
Grand Gaube,-20.01,57.66,75.0,79,17,5.01,MU,1606265629
Ust-Nera,64.57,143.2,-14.49,80,100,4.0,RU,1606265629
Fallon,39.47,-118.78,50.0,37,1,9.17,US,1606265629
Ariquemes,-9.91,-63.04,79.56,75,79,3.51,BR,1606265463
Wewak,-3.55,143.63,82.72,74,20,2.53,PG,1606265630
Joshīmath,30.57,79.57,40.35,61,100,4.16,IN,1606265630
Presidencia Roque Sáenz Peña,-26.79,-60.44,85.87,30,0,8.28,AR,1606265630
Jingdezhen,29.29,117.21,50.25,92,100,3.29,CN,1606265630
Yar-Sale,66.83,70.83,15.24,97,100,10.98,RU,1606265631
Chitradurga,14.23,76.4,63.75,89,81,4.88,IN,1606265631
Picton,-34.18,150.6,75.0,69,89,5.88,AU,1606265631
Pucallpa,-8.38,-74.55,87.8,66,40,4.7,PE,1606265631
El Calvario,14.12,-89.92,77.0,65,0,5.68,GT,1606265632
Arrondissement du Havre,49.58,0.33,46.4,81,0,8.05,FR,1606265628
Charlestown,-32.95,151.67,78.01,60,5,7.54,AU,1606265632
Aksu,41.12,80.26,19.96,83,95,4.41,CN,1606265632
Salalah,17.02,54.09,78.8,26,0,14.99,OM,1606265632
Meulaboh,4.14,96.13,77.86,87,36,4.09,ID,1606265633
Broome,42.25,-75.83,30.2,68,1,4.7,US,1606265633
Pudozh,61.81,36.53,33.06,95,100,4.09,RU,1606265633
Scarborough,54.28,-0.4,46.99,89,36,3.0,GB,1606265633
Guerrero Negro,27.98,-114.06,62.1,81,0,11.16,MX,1606265633
Tacuarembó,-31.73,-55.98,75.07,52,99,7.05,UY,1606265634
Palauig,15.44,119.9,81.73,53,63,2.93,PH,1606265634
Nurota,40.56,65.69,30.2,33,100,9.17,UZ,1606265343
Nānākuli,21.39,-158.15,86.0,51,75,10.29,US,1606265634
College,64.86,-147.8,6.8,77,40,5.82,US,1606265440
Vestmannaeyjar,63.44,-20.27,36.55,79,1,15.55,IS,1606265634
Sicuani,-14.27,-71.23,57.13,45,0,3.15,PE,1606265635
Ketchikan,55.34,-131.65,41.0,86,90,16.11,US,1606265635
Acapulco de Juárez,16.86,-99.89,82.4,78,20,3.36,MX,1606265557
Hualmay,-11.1,-77.61,63.25,86,10,8.75,PE,1606265635
Lüderitz,-26.65,15.16,62.6,63,0,11.41,NA,1606265596
Balkanabat,39.51,54.37,42.06,68,0,7.87,TM,1606265635
Paamiut,61.99,-49.67,34.5,87,100,28.72,GL,1606265636
Anking,30.51,117.05,47.68,83,100,5.61,CN,1606265636
Ndélé,8.41,20.65,73.35,34,18,2.93,CF,1606265636
Ladário,-19.0,-57.6,88.27,42,0,6.6,BR,1606265636
Morant Bay,17.88,-76.41,82.4,65,20,6.93,JM,1606265636
Ust-Maya,60.42,134.53,-12.51,88,100,5.21,RU,1606265637
Rørvik,64.86,11.24,42.84,77,100,16.55,NO,1606265637
Maroantsetra,-15.43,49.73,71.46,86,81,1.99,MG,1606265637
Vikhorevka,56.12,101.16,15.8,92,75,2.24,RU,1606265637
Ilulissat,69.22,-51.1,21.2,53,100,28.86,GL,1606265637
Dalmatovo,56.26,62.94,18.46,96,100,8.41,RU,1606265638
Milledgeville,33.08,-83.23,57.2,58,90,5.28,US,1606265638
Ben Tre,10.23,106.38,79.52,76,100,2.04,VN,1606265638
Yorosso,12.35,-4.78,69.28,23,0,9.37,ML,1606265638
Levice,48.22,18.61,35.01,97,81,5.99,SK,1606265638
Razumnoye,50.53,36.68,33.8,97,75,6.71,RU,1606265639
Neuquén,-38.95,-68.06,66.2,45,40,6.93,AR,1606265380
Teguise,29.06,-13.56,64.4,63,0,3.36,ES,1606265639
Pula,44.87,13.85,41.0,60,0,5.82,HR,1606265639
Māngrol,21.12,70.12,70.3,46,72,8.75,IN,1606265639
Mbini,1.57,9.61,78.22,87,47,4.83,GQ,1606265640
Banjar,-8.19,114.97,78.8,94,75,3.36,ID,1606265640
Camabatela,-8.19,15.38,63.52,99,100,1.39,AO,1606265640
Mandalgovi,45.76,106.27,11.35,96,100,5.5,MN,1606265640
Sabha,27.04,14.43,49.53,58,0,7.34,LY,1606265640
Srednekolymsk,67.45,153.68,-2.04,92,100,10.33,RU,1606265641
Itoman,26.12,127.67,75.2,57,0,11.41,JP,1606265641
Kumul,42.8,93.45,16.5,74,0,3.96,CN,1606265352
